Source.Name,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
redfin_2021-12-30-21-40-26.csv,PAST SALE,7/28/2021,Single Family Residential,7010 Green Spring Ln,Alexandria,VA,22306,706500,4,2.5,WOODSTONE,2486,10487,1988,155,284,44,Sold,,,https://www.redfin.com/VA/Alexandria/7010-Green-Spring-Ln-22306/home/9790441,BRIGHT MLS,VAFX1193610,N,Y,38.7649919,-77.1032769
redfin_2021-12-30-21-40-26.csv,PAST SALE,4/16/2021,Single Family Residential,804 Enderby Dr,Alexandria,VA,22302,1197500,4,3,BEVERLY HILLS,2497,6350,1938,258,480,,Sold,,,https://www.redfin.com/VA/Alexandria/804-Enderby-Dr-22302/home/11850128,BRIGHT MLS,VAAX257182,N,Y,38.8338583,-77.0745917
redfin_2021-12-30-21-40-26.csv,PAST SALE,10/12/2021,Single Family Residential,208 N Furman St,Alexandria,VA,22304,681000,5,3,DALECREST,1664,5121,1957,79,409,,Sold,,,https://www.redfin.com/VA/Alexandria/208-N-Furman-St-22304/home/11853343,BRIGHT MLS,VAAX2002908,N,Y,38.8134112,-77.1012089
redfin_2021-12-30-21-40-26.csv,PAST SALE,4/2/2021,Single Family Residential,8905 Battery Rd,Alexandria,VA,22308,675000,4,3,POTOMAC VALLEY,1800,14229,1960,272,375,,Sold,,,https://www.redfin.com/VA/Alexandria/8905-Battery-Rd-22308/home/9828580,BRIGHT MLS,VAFX1183452,N,Y,38.7158703,-77.0591222
redfin_2021-12-30-21-40-26.csv,PAST SALE,5/21/2021,Single Family Residential,4404 Granada St,Alexandria,VA,22309,585000,5,3,MOUNT VERNON MANOR,1961,16650,1967,223,298,,Sold,,,https://www.redfin.com/VA/Alexandria/4404-Granada-St-22309/home/9825977,BRIGHT MLS,VAFX1195666,N,Y,38.721662,-77.1097953
redfin_2021-12-30-21-40-26.csv,PAST SALE,3/22/2021,Single Family Residential,201 Uhler Ter,Alexandria,VA,22301,1425000,4,3.5,GROVES,3587,9200,1940,283,397,,Sold,,,https://www.redfin.com/VA/Alexandria/201-W-Uhler-Ter-22301/home/11847000,BRIGHT MLS,VAAX253996,N,Y,38.8290174,-77.0647436
redfin_2021-12-30-21-40-26.csv,PAST SALE,8/16/2021,Single Family Residential,3708 Heather Ct,Alexandria,VA,22310,580000,4,3.5,VIRGINIA HILLS,2252,10012,1953,136,258,,Sold,,,https://www.redfin.com/VA/Alexandria/3708-Heather-Ct-22310/home/9758887,BRIGHT MLS,VAFX2005924,N,Y,38.7815008,-77.096983
redfin_2021-12-30-21-40-26.csv,PAST SALE,4/16/2021,Single Family Residential,8901 Valley Forge Dr,Alexandria,VA,22309,600000,3,1.5,COLONIAL FARMS,1471,28401,1958,258,408,,Sold,,,https://www.redfin.com/VA/Alexandria/8901-Valley-Forge-Dr-22309/home/9825666,BRIGHT MLS,VAFX1186622,N,Y,38.7164087,-77.1117733
redfin_2021-12-30-21-40-26.csv,PAST SALE,10/4/2021,Single Family Residential,5732 Sable Dr,Alexandria,VA,22303,603750,3,2,BURGUNDY FARM,1555,11773,1955,87,388,,Sold,,,https://www.redfin.com/VA/Alexandria/5732-Sable-Dr-22303/home/9756359,BRIGHT MLS,VAFX2016530,N,Y,38.79344,-77.0975
redfin_2021-12-30-21-40-26.csv,PAST SALE,6/25/2021,Single Family Residential,1053 N Chambliss St,Alexandria,VA,22312,703000,4,3,LINCOLNIA HILLS,2188,22209,1958,188,321,,Sold,,,https://www.redfin.com/VA/Alexandria/1053-N-Chambliss-St-22312/home/11856769,BRIGHT MLS,VAAX258448,N,Y,38.8253545,-77.1394159
