ADDRESS,CITY,ZIPCODE,LOCATION,DATESOLD,MONTH,PRICE,BEDROOMS,BATHROOMS,SQFT,LOTSIZE,PRICE_PER_SQFT,HOA,HOA_MONTHLY,YEARBUILT,HOUSE_AGE,DAYS_ON_MARKET,LATITUDE,LONGITUDE
7010 Green Spring Ln,Alexandria,22306,WOODSTONE,2021-07-28,July,706500,4,2.5,2486,10487,284,Yes,44.0,1988,33,155,38.7649919,-77.10327690000001
804 Enderby Dr,Alexandria,22302,BEVERLY HILLS,2021-04-16,April,1197500,4,3.0,2497,6350,480,No,0.0,1938,83,258,38.833858299999996,-77.0745917
208 N Furman St,Alexandria,22304,DALECREST,2021-10-12,October,681000,5,3.0,1664,5121,409,No,0.0,1957,64,79,38.813411200000004,-77.1012089
8905 Battery Rd,Alexandria,22308,POTOMAC VALLEY,2021-04-02,April,675000,4,3.0,1800,14229,375,No,0.0,1960,61,272,38.7158703,-77.0591222
4404 Granada St,Alexandria,22309,MOUNT VERNON MANOR,2021-05-21,May,585000,5,3.0,1961,16650,298,No,0.0,1967,54,223,38.721662,-77.1097953
201 Uhler Ter,Alexandria,22301,GROVES,2021-03-22,March,1425000,4,3.5,3587,9200,397,No,0.0,1940,81,283,38.8290174,-77.0647436
3708 Heather Ct,Alexandria,22310,VIRGINIA HILLS,2021-08-16,August,580000,4,3.5,2252,10012,258,No,0.0,1953,68,136,38.781500799999996,-77.096983
8901 Valley Forge Dr,Alexandria,22309,COLONIAL FARMS,2021-04-16,April,600000,3,1.5,1471,28401,408,No,0.0,1958,63,258,38.7164087,-77.1117733
5732 Sable Dr,Alexandria,22303,BURGUNDY FARM,2021-10-04,October,603750,3,2.0,1555,11773,388,No,0.0,1955,66,87,38.793440000000004,-77.0975
1053 N Chambliss St,Alexandria,22312,LINCOLNIA HILLS,2021-06-25,June,703000,4,3.0,2188,22209,321,No,0.0,1958,63,188,38.825354499999996,-77.13941590000002
6514 Gretna Green Way,Alexandria,22312,PINECREST THE,2021-09-29,September,800000,4,4.0,2780,6208,288,Yes,89.0,1985,36,92,38.826108700000006,-77.1635025
1227 Morningside,Alexandria,22308,WELLINGTON HEIGHTS,2021-11-19,November,915000,3,2.0,2288,23425,400,No,0.0,1954,67,41,38.752280999999996,-77.05676120000001
6609 Winstead Manor Ct,Lorton,22079,WINSTEAD MANOR,2021-04-30,April,1005000,5,3.5,5598,12458,180,Yes,89.0,2004,17,244,38.7363802,-77.17181479999999
5222 Mitchell St,Alexandria,22312,INDIAN SPRING,2021-08-30,August,642900,4,3.0,3124,30637,206,No,0.0,1962,59,122,38.8097316,-77.1676812
6614 Benson Dr,Alexandria,22306,COUNTRY CLUB ESTATES,2021-03-26,March,801000,4,2.5,2496,9140,321,No,0.0,2016,5,279,38.774347799999994,-77.0952296
326 Clifford Ave,Alexandria,22305,WILMAR PARK,2021-11-09,November,875000,2,2.0,1025,5249,854,No,0.0,1925,96,51,38.8321943,-77.0539835
2811 Joseph Makell Ct,Alexandria,22306,GABRIEL PLAZA,2021-03-31,March,480000,4,3.0,1080,5832,444,No,0.0,1972,49,274,38.746713,-77.0804822
4728 Virginia St,Alexandria,22312,SOUTHERN VILLA,2021-09-15,September,1255000,5,6.0,10360,28610,121,No,0.0,2013,8,106,38.820727500000004,-77.159391
6602 Berkshire Dr,Alexandria,22310,VIRGINIA HILLS,2021-06-11,June,576000,4,2.0,2002,10017,288,No,0.0,1952,69,202,38.7748304,-77.0966682
6461 First St,Alexandria,22312,WEYANOKE,2021-07-06,July,600000,3,3.0,2125,12375,282,No,0.0,1954,67,177,38.8194963,-77.1546503
4117 Westman Ct,Alexandria,22306,WOODSTONE,2021-08-17,August,725000,4,2.5,2486,10045,292,Yes,44.0,1988,33,135,38.765854100000006,-77.10397370000001
